,ingredient,degree,sugar,base_spirit,occasion_id
836,"얼음,앱솔루트 100,신선한 애플 주스,레몬 주스,크렘 드 카시스,슈가시럽",42,2,vodka,14
837,"얼음,앱솔루트 맨드린,콜라,오렌지,빨대",30,2,vodka,14
838,"얼음,앱솔루트 루비 레드,슈가시럽,그레이프프루트",34,0,vodka,15
839,"얼음,앱솔루트 와일드 티,진저엘,라임",30,0,vodka,4
840,"얼음,앱솔루트 보드카,레몬 주스,석류 주스,소다수,민트",36,0,vodka,15
841,"얼음,앱솔루트 시트론,앱솔루트 큐란트,오렌지 주스",40,0,vodka,14
842,"얼음,앱솔루트 큐란트,크림,우유,블랙 라즈베리 리큐어,크림 리큐어,헤이즐넛 리큐어,화이트 카카오 리큐어,초콜릿",18,10,vodka,15
843,"얼음,앱솔루트 바니리아,레몬 주스,파인애플 주스,석류즙,바질",34,0,vodka,14
844,"얼음,앱솔루트 보드카,진저비어,라임 주스,라임",32,0,vodka,22
845,"얼음,앱솔루트 보드카,찬 에스프레소 커피,다크 카카오 리큐어,라즈베리 리큐어",23,4,vodka,14
846,"얼음,잘게 부순 얼음,앱솔루트 시트론,라임,정제된 설탕",39,1,vodka,15
847,"얼음,앱솔루트 보드카,레몬 주스,바나나 리큐어,트리플 섹",37,1,vodka,14
848,"얼음,잘게 부순 얼음,앱솔루트 바니리아,앱솔루트 맨드린,라임 주스,석류즙,구아바 주스,라임",31,1,vodka,14
849,"얼음,앱솔루트 라즈베리,블루 큐라소,트리플 섹",37,1,vodka,14
850,"얼음,앱솔루트 보드카,드라이 버무스,체리 리큐어,바나나 리큐어,비터즈,오렌지",26,6,vodka,4
851,"얼음,앱솔루트 보드카,슈가시럽,라임 주스,라임",37,2,vodka,14
852,"앱솔루트 라즈베리,샴페인",11,0,vodka|champagne,14
853,"잘게 부순 얼음,앱솔루트 바니리아,라임 주스,슈가시럽,민트잎",37,0,vodka,14
854,"잘게 부순 얼음,앱솔루트 애플,슈가시럽,라임,망고",38,2,vodka,14
855,"얼음,앱솔루트 어피치,망고,정제된 설탕,복숭아 리큐어",39,1,vodka,13
856,"앱솔루트 보드카,망고 주스,꿀,레몬 주스",35,3,vodka,15
857,"얼음,앱솔루트 페퍼,콜라,레몬",29,2,vodka,14
858,"얼음,앱솔루트 베리 아사이,레몬 주스,슈가시럽,블루베리",17,8,vodka,22
859,"얼음,앱솔루트 맨드린,귤 리큐어,레몬 주스,슈가시럽",25,6,vodka,14
860,"얼음,앱솔루트 페퍼,깔루아,우유",27,10,vodka,13
861,"얼음,앱솔루트 보드카,애플 주스,블루 큐라소,트리플 섹,그린 바나나 시럽",19,13,vodka,15
862,"얼음,앱솔루트 큐란트,성 라파엘,비터즈,마라스키노 베리",29,0,vodka,14
863,"얼음,잘게 부순 얼음,앱솔루트 시트론,파인애플,생강,정제된 설탕",39,1,vodka,15
864,"앱솔루트 보드카,딸기 퓌레,레몬 주스,슈가시럽,바질,딸기",35,2,vodka,4
865,"얼음,앱솔루트 페어,슈가시럽,애플 주스,레몬 주스,라임 주스,샴페인,민트",30,4,vodka|champagne,14
866,"얼음,앱솔루트 보드카,살구 브랜디,계란 노른자,석류즙,오렌지 주스",36,1,vodka,14
867,"얼음,앱솔루트 라즈베리,슈가시럽,라즈베리,라임,오렌지",37,0,vodka,22
868,"얼음,앱솔루트 어피치,레몬에이드,레몬",30,3,vodka,14
869,"얼음,앱솔루트 보드카,블랙 커런트 리큐어,크랜베리 주스,레몬 주스,사이다",23,7,vodka,14
870,"얼음,앱솔루트 보드카,라임과 레몬그라스 코디얼,레몬 커드,라임 주스,라임 코디얼",37,0,vodka,14
871,"얼음,앱솔루트 와일드 티,레몬에이드,레몬",30,3,vodka,4
872,"얼음,앱솔루트 보드카,드라이 버무스,듀보네,오렌지 비터즈",23,3,vodka,15
873,"앱솔루트 페퍼,토마토",38,0,vodka,15
874,"앱솔루트 실란트로,라임",45,0,vodka,13
875,"얼음,앱솔루트 보드카,진,캄파리,복숭아 리큐어,복숭아",35,6,vodka|gin,15
876,"얼음,앱솔루트 큐란트,크랜베리 주스,라임",30,3,vodka,14
877,"얼음,앱솔루트 100,크랜베리 주스,자몽주스,라임",13,9,vodka,14
878,"얼음,앱솔루트 보드카,살구 브랜디,오렌지 주스,석류즙,패션 프루트 시럽,사과,키위,마라스키노 베리,민트",16,19,vodka,14
879,"얼음,앱솔루트 애플,라이치 주스,라임 주스,슈가시럽,생강,패션 프루트",34,2,vodka,14
880,"잘게 부순 얼음,앱솔루트 시트론,슈가시럽,레몬,라임",38,2,vodka,14
881,"얼음,앱솔루트 큐란트,슈가시럽,라즈베리 소다,블랙베리,라즈베리",38,1,vodka,14
882,"얼음,앱솔루트 보드카,수박 주스,수박",30,0,vodka,22
883,"얼음,앱솔루트 실란트로,슈가시럽,라임 주스,멜론,고수",42,1,vodka,14
884,"얼음,앱솔루트 보드카,오렌지 주스,위스키/허니 리큐어,라임 주스,오렌지",18,8,vodka,14
885,"얼음,앱솔루트 보드카,크랜베리 주스,자몽주스,라임 주스,트리플 섹,라임",22,9,vodka,15
886,"얼음,잘게 부순 얼음,앱솔루트 페어,망고 퓌레,레몬 주스,슈가시럽,소다수,레몬",31,4,vodka,14
887,"얼음,앱솔루트 보드카,블루 큐라소,바이올렛 리큐어,화이트 카카오 리큐어,크림",24,12,vodka,15
888,"얼음,잘게 부순 얼음,앱솔루트 맨드린,루비 자몽주스,슈가시럽",38,0,vodka,14
889,"얼음,앱솔루트 라즈베리,트리플 섹,블랙 라즈베리 리큐어,포도 주스",28,14,vodka,14
890,"얼음,앱솔루트 보드카,블랙베리 리큐어",39,0,vodka,4
891,"앱솔루트 보드카,크랜베리 주스(핫),레몬 주스,계피 시럽",29,0,vodka,14
892,"얼음,앱솔루트 100,깔루아",33,10,vodka,14
893,"얼음,앱솔루트 보드카,체리 리큐어,계란 흰자,라임 코디얼,트리플 섹",25,17,vodka,14
894,"얼음,잘게 부순 얼음,앱솔루트 시트론,파인애플 주스,정제된 설탕,파인애플",39,1,vodka,15
895,"얼음,앱솔루트 시트론,슈가시럽,파인애플",39,0,vodka,15
896,"얼음,앱솔루트 보드카,오렌지 주스,스파클링 와인",32,1,vodka,14
897,"얼음,앱솔루트 보드카,캄파리,자몽주스,그레이프프루트",30,7,vodka,14
898,"잘게 부순 얼음,앱솔루트 시트론,정제된 설탕,파인애플",39,2,vodka,14
899,"앱솔루트 100,샴페인",30,0,vodka|champagne,14
900,"얼음,앱솔루트 애플,아몬드향 리큐어,레몬 주스",38,0,vodka,14
901,"얼음,앱솔루트 보드카,그린 샤르트뢰즈,라임 코디얼",37,4,vodka,15
902,"얼음,앱솔루트 보드카,데킬라,깔루아",33,5,vodka|tequila,15
903,"얼음,앱솔루트 보드카,트리플 섹,오렌지 비터즈,오렌지",39,0,vodka,14
904,"얼음,앱솔루트 라즈베리,크랜베리 주스,라임 주스,사이다,라임",34,0,vodka,14
905,"얼음,앱솔루트 큐란트,드라이 버무스,스위트 버무스,레몬",26,8,vodka,15
906,"얼음,앱솔루트 맨드린,체리 브랜디,레몬,귤",39,1,vodka,14
907,"얼음,앱솔루트 보드카,소다수,레몬에이드,레몬",39,0,vodka,14
908,"얼음,앱솔루트 맨드린,앱솔루트 큐란트,파인애플 주스,블랙 라즈베리 리큐어,파인애플",16,9,vodka,14
909,"얼음,앱솔루트 100,토닉 워터,라임",38,0,vodka,15
910,"얼음,앱솔루트 보드카,딸기,포도,바질,정제된 설탕,초콜릿과 오렌지 리큐어",39,1,vodka,15
911,"얼음,앱솔루트 보드카,캄파리,마라스키노 베리",39,0,vodka,14
912,"잘게 부순 얼음,앱솔루트 보드카,딱총나무 꽃 코디얼,슈가시럽,레몬그라스,어린 가지 민트",38,1,vodka,14
913,"얼음,앱솔루트 맨드린,키위 퓌레,프로세코",20,0,vodka,14
914,"얼음,앱솔루트 큐란트,라임 코디얼,라임 주스,물,라임",39,0,vodka,15
915,"앱솔루트 어피치,복숭아 넥타,프로세코",20,0,vodka,14
916,"얼음,앱솔루트 보드카,석류 주스,자몽주스,꿀,민트잎",34,2,vodka,15
917,"얼음,앱솔루트 보드카,버본,체리 브랜디,트리플 섹,오렌지",38,14,vodka|whisky,14
918,"얼음,앱솔루트 어피치,토닉 워터,석류즙,라임",30,0,vodka,14
919,"얼음,앱솔루트 시트론,감로 멜론",40,0,vodka,14
920,"얼음,앱솔루트 보드카,드라이 버무스,캄파리",33,5,vodka,4
921,"얼음,앱솔루트 보드카,복숭아 퓌레,복숭아 리큐어,크림,복숭아",23,6,vodka,4
922,"얼음,앱솔루트 큐란트,애플 주스,소다수,블랙베리 리큐어,라임",19,5,vodka,14
923,"얼음,앱솔루트 애플,애플 주스,칼바도스,비터즈,샴페인,사과",3,8,vodka|champagne,15
924,"얼음,앱솔루트 보드카,화이트 초콜릿 리큐어,귤 리큐어,오렌지 비터즈,마라스키노 베리,민트",32,6,vodka,13
925,"얼음,앱솔루트 루비 레드,레몬 주스,슈가시럽,체리,레몬",32,2,vodka,14
926,"앱솔루트 보드카,샴페인,레몬 아이스캔디",25,0,vodka|champagne,15
927,"얼음,앱솔루트 보드카,파인애플 주스,오렌지 주스,아마레또",8,9,vodka,14
928,"얼음,앱솔루트 보드카,복숭아와 캐러웨이 시럽,오렌지 비터즈",38,0,vodka,13
929,"얼음,앱솔루트 어피치,레몬 주스,슈가시럽,소다수,레몬",36,1,vodka,22
930,"앱솔루트 보드카,요거트,슈가시럽,딸기",17,7,vodka,13
931,"앱솔루트 보드카,라임 주스,슈가시럽,민트잎",36,2,vodka,22
932,"얼음,앱솔루트 보드카,트리플 섹,라임 주스,레몬 주스,오렌지 비터즈,비터즈",25,10,vodka,15
933,"잘게 부순 얼음,앱솔루트 페어,찬 에스프레소 커피,정제된 설탕",19,0,vodka,14
934,"얼음,앱솔루트 보드카,앱솔루트 시트론,레몬 주스,슈가시럽,트리플 섹,레몬 껍질",21,9,vodka,14
935,"얼음,앱솔루트 보드카,신선한 애플 주스,레몬 주스,아몬드 시럽,복숭아 비터즈,아몬드",35,1,vodka,14
936,"얼음,잘게 부순 얼음,앱솔루트 페어,포도,바질,정제된 설탕",39,1,vodka,15
937,"얼음,앱솔루트 보드카,핑크 그레이프프루트 주스,그레이프프루트",32,0,vodka,14
938,"얼음,앱솔루트 보드카,신선한 애플 주스,바닐라 리큐어,사과",25,7,vodka,14
939,"얼음,앱솔루트 시트론,앱솔루트 큐란트,신선한 애플 주스,레몬 주스,팔레르눔,비터즈,그린 애플 시럽",4,10,vodka,14
940,"얼음,앱솔루트 보드카,드라이 버무스,자몽주스,슈가시럽,트리플 섹",19,15,vodka,14
941,"얼음,앱솔루트 보드카,버본,드라이 버무스,비터즈,그린 올리브",33,0,vodka|whisky,4
942,"얼음,앱솔루트 보드카,성 라파엘,레몬",18,0,vodka,14
943,"앱솔루트 라즈베리,블랙베리 시럽,크랜베리 주스(핫),오렌지",37,0,vodka,14
944,"얼음,앱솔루트 보드카,레몬 주스,오렌지 주스,슈가시럽,망고",35,2,vodka,14
945,"얼음,앱솔루트 큐란트,트리플 섹,라임 주스,석류 주스,라임",19,11,vodka,14
946,"얼음,앱솔루트 보드카,라이트 럼,블랙 커런트 리큐어,라임 주스,슈가시럽",23,13,vodka|rum,14
947,"얼음,앱솔루트 보드카,체리 브랜디,스위트 버무스,오렌지",39,1,vodka,22
948,"얼음,앱솔루트 보드카,라임 주스,슈가시럽,민트",36,2,vodka,4
949,"얼음,앱솔루트 맨드린,콜라",30,2,vodka,14
950,"얼음,앱솔루트 큐란트,애플 주스,레몬,블랙 커런트",30,2,vodka,14
951,"얼음,앱솔루트 보드카,살구 브랜디,라임 주스,딱총나무 꽃 코디얼,패션 프루트",36,2,vodka,14
952,"잘게 부순 얼음,앱솔루트 보드카,식용 꽃,꿀,레몬 주스,소다수",36,3,vodka,14
953,"얼음,앱솔루트 보드카,오이피클 국물,라임 주스,오이피클,진저비어",37,0,vodka,14
954,"얼음,앱솔루트 보드카,살구 브랜디,레몬 주스,레몬에이드",28,6,vodka,14
955,"얼음,앱솔루트 보드카,비터즈,슈가시럽,라임 주스,레몬 주스,소다수",36,2,vodka,14
956,"얼음,앱솔루트 보드카,옐로우 샤르트뢰즈,마라스키노 베리",40,10,vodka,15
957,"얼음,잘게 부순 얼음,앱솔루트 큐란트,체리 퓌레,라임 주스,체리",38,0,vodka,14
958,"얼음,앱솔루트 보드카,살구 브랜디,트리플 섹,레몬",37,15,vodka,4
959,"얼음,앱솔루트 맨드린,레몬 주스,슈가시럽,오렌지",36,2,vodka,14
960,"얼음,앱솔루트 루비 레드,레몬 주스,슈가시럽,그레이프프루트",17,8,vodka,22
961,"얼음,앱솔루트 주스 애플,레몬 주스,꿀 시럽,진저비어,오렌지",23,0,vodka,9
962,"앱솔루트 바니리아,커피,크림",12,0,vodka,15
963,"얼음,앱솔루트 보드카,슈가시럽,망고",20,25,vodka,14
964,"얼음,앱솔루트 바니리아,자몽주스,크랜베리 주스",37,0,vodka,14
965,"얼음,앱솔루트 보드카,자몽주스,트리플 섹",33,2,vodka,14
966,"얼음,앱솔루트 보드카,멜론 리큐어,헤이즐넛 리큐어,라임 주스,복숭아 리큐어",20,19,vodka,14
967,"얼음,앱솔루트 와일드 티,레몬 주스,슈가시럽",36,1,vodka,22
968,"얼음,앱솔루트 보드카,애플 주스,레몬 주스,석류즙,오렌지 비터즈,사과",16,6,vodka,14
969,"얼음,앱솔루트 시트론,귤 리큐어,압생트,사이다,귤",26,9,vodka,14
970,"얼음,앱솔루트 라즈베리,크랜베리 주스,파인애플,라즈베리",29,3,vodka,14
971,"얼음,앱솔루트 보드카,배 주스,소다수,오렌지",20,0,vodka,15
972,"얼음,앱솔루트 보드카,블랙베리 리큐어,라임 주스,계란 흰자,슈가시럽",34,2,vodka,14
973,"얼음,앱솔루트 보드카,드라이 버무스,오렌지 큐라소",32,6,vodka,14
974,"얼음,앱솔루트 루비 레드,패션 프루트",35,0,vodka,14
975,"얼음,앱솔루트 페퍼,드라이 버무스",37,0,vodka,14
976,"얼음,앱솔루트 바니리아,라임 주스,진저비어,바닐라,라임",36,0,vodka,14
977,"얼음,앱솔루트 큐란트,슈가시럽,블루베리",39,0,vodka,15
978,"얼음,앱솔루트 보드카,콜라,깔루아,크림",2,10,vodka,15
979,"얼음,앱솔루트 보드카,드라이 버무스,그린 올리브",39,0,vodka,21
980,"얼음,앱솔루트 보드카,드라이 버무스,레몬 주스,그린 올리브",27,0,vodka,15
981,"얼음,앱솔루트 보드카,복숭아맛 버본,오렌지 주스,오렌지",39,1,vodka,14
982,"얼음,앱솔루트 보드카,크림,갈리아노,라임 주스",23,6,vodka,14
983,"얼음,앱솔루트 보드카,크림,깔루아",19,4,vodka,15
984,"앱솔루트 큐란트,드라이 버무스,슈가시럽,블랙베리",39,0,vodka,14
985,"얼음,앱솔루트 시트론,압생트,라임 주스,멜론 리큐어",10,9,vodka,14
986,"앱솔루트 루비 레드,크랜베리 주스,샴페인",11,8,vodka|champagne,14
987,"얼음,콤부차,앱솔루트 패션프루트,설탕 시럽,레몬,어린 가지 민트",23,0,vodka,22
988,"얼음,앱솔루트 시트론,코코넛 워터,핑크 그레이프프루트 주스,그레이프프루트",15,0,vodka,14
989,"얼음,자메이카 타입의 다크 럼,앱솔루트 보드카,파인애플 주스,바나나 리큐어,석류즙,라임 주스",5,12,vodka|rum,14
990,"얼음,앱솔루트 보드카,갈리아노,패션 프루트 주스,그레이프프루트",39,0,vodka,4
991,"얼음,앱솔루트 100,오렌지 주스,레몬 주스,슈가시럽",20,5,vodka,14
992,"얼음,앱솔루트 보드카,귤 리큐어",32,10,vodka,14
993,"얼음,앱솔루트 바니리아,라임 주스,트리플 섹",24,14,vodka,14
994,"얼음,앱솔루트 시트론,트리플 섹,라임 주스,포도 주스,오렌지",36,2,vodka,13
995,"잘게 부순 얼음,앱솔루트 큐란트,레몬 주스,딸기,민트,생강",39,0,vodka,13
996,"얼음,앱솔루트 보드카,살구 브랜디,드라이 버무스,비터즈",32,6,vodka,14
997,"앱솔루트 보드카,커피,레드 와인,슈가시럽",7,0,vodka,14
998,"얼음,앱솔루트 시트론,살구 브랜디,블루 큐라소,레몬 주스",38,1,vodka,14
999,"얼음,앱솔루트 보드카,소다수,레몬",30,2,vodka,14
1000,"얼음,앱솔루트 베리 아사이,레몬 주스,슈가시럽,계란 흰자,블루베리",31,1,vodka,22
1001,"얼음,앱솔루트 루비 레드,자몽주스,그레이프프루트",26,3,vodka,14
1002,"얼음,앱솔루트 실란트로,레몬에이드,소다수,레몬",37,2,vodka,15
1003,"얼음,앱솔루트 시트론,블루 큐라소,레몬 주스,멜론 리큐어,윌리엄 페어 리큐어,오렌지",37,2,vodka,14
1004,"앱솔루트 어피치,꿀,뜨거운 차,오렌지,생강",30,0,vodka,14
1005,"얼음,앱솔루트 엘릭스,수박 주스,파인애플 주스,라임 주스,소금,멜론",6,5,vodka,22
1006,"얼음,앱솔루트 보드카,패션 프루트 리큐어,자몽주스,패션 프루트",39,8,vodka,14
1007,"얼음,앱솔루트 히비스커스,파인애플 주스,구아바 주스,비터즈,라임 주스,라임",19,6,vodka,15
1008,"얼음,앱솔루트 보드카,토닉 워터,그레이프프루트",30,0,vodka,15
1009,"얼음,잘게 부순 얼음,앱솔루트 시트론,키위,정제된 설탕",39,1,vodka,15
1010,"얼음,앱솔루트 시트론,갈리아노,박하 아이스티,레몬 껍질",28,5,vodka,14
1011,"얼음,앱솔루트 보드카,체리 브랜디,오렌지 주스,오렌지",25,9,vodka,14
1012,"잘게 부순 얼음,앱솔루트 바니리아,트리플 섹,레몬 주스,슈가시럽,레몬그라스",34,17,vodka,14
1013,"얼음,앱솔루트 보드카,오드비,스위트 버무스,비터즈,오렌지 비터즈",27,4,vodka,14
1014,"얼음,앱솔루트 와일드 티,진저엘,라임 주스,라임",30,0,vodka,15
1015,"얼음,앱솔루트 보드카,라임 주스,라이치 리큐어,진저 시럽,딱총나무 꽃 코디얼,라임 코디얼",34,2,vodka,22
1016,"얼음,앱솔루트 바니리아,우유,블루베리 시럽,블루베리",17,0,vodka,14
1017,"얼음,앱솔루트 주스 애플,레드 와인,트리플 섹,비터즈,오렌지,사과,포도",32,1,vodka,9
1018,"앱솔루트 보드카,블루베리 시럽,샴페인",26,0,vodka|champagne,14
1019,"얼음,앱솔루트 실란트로,루비 자몽주스,슈가시럽,그레이프프루트",22,0,vodka,4
1020,"얼음,잘게 부순 얼음,앱솔루트 페어,배,계피,정제된 설탕",39,1,vodka,14
1021,"얼음,앱솔루트 보드카,아마레또,크림",35,1,vodka,15
1022,"얼음,앱솔루트 라즈베리,토닉 워터,라임",29,0,vodka,14
1023,"얼음,앱솔루트 보드카,라임 주스,라즈베리 시럽,릴렛 블랑,계란 흰자",34,2,vodka,14
1024,"얼음,앱솔루트 시트론",40,0,vodka,22
1025,"얼음,앱솔루트 바니리아,칼바도스,계피 시럽",24,12,vodka,14
1026,"얼음,앱솔루트 보드카,차이 녹차 시럽,오렌지 소다",38,0,vodka,14
1027,"얼음,앱솔루트 페어,오렌지 맛 브랜디,크림",29,3,vodka,14
1028,"얼음,앱솔루트 큐란트,초콜릿 리큐어,마라스키노 베리",39,0,vodka,13
1029,"얼음,앱솔루트 루비 레드,탄제린,바질,정제된 설탕",34,1,vodka,15
1030,"얼음,앱솔루트 라즈베리,슈가시럽,블루베리",37,0,vodka,15
1031,"얼음,앱솔루트 라즈베리,계피 슈납스 리큐어,레몬 주스,라즈베리",35,0,vodka,14
1032,"얼음,앱솔루트 보드카,신선한 애플 주스,끓는 물,꿀,레몬 주스,소다수,레몬",22,5,vodka,15
1033,"얼음,앱솔루트 시트론,버터스카치 슈납스,라임 주스,소다수,레몬",28,11,vodka,14
1034,"얼음,앱솔루트 바니리아,오렌지 주스,크랜베리 시럽,라임 주스,소다수,라임",28,2,vodka,15
1035,"얼음,에이지드 쿠바럼,앱솔루트 보드카,다크 카카오 리큐어",35,3,vodka|rum,15
1036,"앱솔루트 바니리아,오렌지 비터즈,샴페인",35,0,vodka|champagne,14
1037,"얼음,앱솔루트 보드카,트리플 섹,레몬 주스,레몬 껍질",39,1,vodka,14
1038,"얼음,잘게 부순 얼음,앱솔루트 보드카,레몬,간 생강,정제된 설탕,생강",38,2,vodka,13
1039,"얼음,앱솔루트 보드카,위스키/허니 리큐어,캄파리",39,0,vodka,14
1040,"얼음,앱솔루트 보드카,애플 주스,캄파리,패션 프루트 주스,슈가시럽",14,13,vodka,14
1041,"잘게 부순 얼음,얼음,앱솔루트 보드카,슈가시럽,라임",38,2,vodka,15
1042,"얼음,앱솔루트 루비 레드,크랜베리 주스,레드 와인",26,3,vodka,15
1043,"얼음,앱솔루트 와일드 티,진저엘,라임 주스,라임",31,0,vodka,22
1044,"잘게 부순 얼음,앱솔루트 맨드린,오렌지 주스,라임 주스,트리플 섹,석류즙,오렌지",2,9,vodka,14
1045,"잘게 부순 얼음,에이지드 쿠바럼,라이트 럼,앱솔루트 보드카,라임 주스,트리플 섹,배",33,8,vodka|rum,14
1046,"앱솔루트 루비 레드,크랜베리 주스,샴페인",23,4,vodka|champagne,4
1047,"얼음,앱솔루트 맨드린,레몬 주스,슈가시럽,초콜릿 소스,사이다,키위",35,3,vodka,14
1048,"잘게 부순 얼음,앱솔루트 보드카,크렘 드 뮈르,라임,블루베리,블랙베리,정제된 설탕",38,3,vodka,14
1049,"얼음,앱솔루트 큐란트,라임 주스,사이다",39,0,vodka,14
1050,"얼음,앱솔루트 보드카,토닉 워터,라즈베리,어린 가지 민트",30,0,vodka,15
1051,"얼음,잘게 부순 얼음,앱솔루트 보드카,블루 큐라소,레몬 주스,마라스키노 베리",30,16,vodka,4
1052,"얼음,앱솔루트 시트론,오렌지 주스,비터 레몬,핑크 그레이프프루트 주스,라임",1,4,vodka,14
1053,"얼음,앱솔루트 보드카,민트잎,정제된 설탕,레몬",39,1,vodka,15
1054,"얼음,앱솔루트 보드카,계란 흰자,파인애플 주스,트리플 섹",38,1,vodka,14
1055,"잘게 부순 얼음,앱솔루트 루비 레드,크렘 드 카시스,레몬 주스,정제된 설탕",32,3,vodka,15
1056,"잘게 부순 얼음,앱솔루트 루비 레드,레몬 주스,크렘 드 뮈르,슈가시럽,블랙베리",11,8,vodka,14
1057,"얼음,앱솔루트 애플,아보카도,정제된 설탕",37,5,vodka,14
1058,"얼음,꼬냑,앱솔루트 보드카,트리플 섹,아니제트",35,13,vodka,14
1059,"얼음,앱솔루트 보드카,화이트 와인,핑크 그레이프프루트 주스,레몬 주스,슈가시럽,옐로우 샤르트뢰즈,오렌지",15,10,vodka,4
1060,"잘게 부순 얼음,앱솔루트 시트론,멜론 리큐어,레몬",30,10,vodka,14
1061,"얼음,앱솔루트 페퍼,토마토 주스,레몬",29,1,vodka,4
1062,"얼음,앱솔루트 그레이프,사이다,라임",30,2,vodka,15
1063,"얼음,앱솔루트 보드카,레몬 주스,진저비어,어린 가지 민트",40,0,vodka,14
1064,"얼음,앱솔루트 히비스커스,크랜베리 주스,트리플 섹,라임 주스,오렌지",38,1,vodka,4
1065,"얼음,앱솔루트 보드카,바나나 리큐어,오렌지 주스",20,9,vodka,14
1066,"얼음,앱솔루트 워터멜론,콜드 브루 커피,슈가시럽",33,0,vodka,22
1067,"얼음,앱솔루트 어피치,슈가시럽,복숭아",26,16,vodka,15
1068,"얼음,앱솔루트 보드카,자몽주스,캄파리",38,0,vodka,15
1069,"얼음,앱솔루트 보드카,레몬 주스,샤프론 설탕 시럽,트리플 섹,오렌지 주스",36,0,vodka,14
1070,"얼음,앱솔루트 보드카,애플 주스,망고 퓌레,슈가시럽,요거트,오이",22,5,vodka,14
1071,"얼음,앱솔루트 보드카,파인애플 주스,슈가시럽,파인애플",29,4,vodka,14
1072,"얼음,앱솔루트 맨드린,살구 브랜디,위스키/허니 리큐어,체리",35,12,vodka,15
1073,"얼음,앱솔루트 시트론,레몬 주스,슈가시럽,트리플 섹,오이",37,2,vodka,14
1074,"얼음,앱솔루트 큐란트,블랙베리 시럽,프로세코,블랙베리",20,0,vodka,14
1075,"얼음,앱솔루트 보드카,샴페인",40,0,vodka|champagne,7
1076,"앱솔루트 페어,샴페인",40,0,vodka|champagne,15
1077,"잘게 부순 얼음,앱솔루트 루비 레드,소다수,레몬,민트",26,2,vodka,14
1078,"얼음,앱솔루트 실란트로,자몽주스,라임 주스,그레이프프루트 소다,그레이프프루트",43,0,vodka,14
1079,"얼음,앱솔루트 엘릭스,배 퓌레,라임 주스,엘더플라워 리큐르,진저비어,배",38,1,vodka,22
1080,"얼음,앱솔루트 페퍼,레몬 주스,슈가시럽,파인애플",35,1,vodka,15
1081,"얼음,앱솔루트 맨드린,캄파리,스위트 버무스,오렌지",28,12,vodka,15
1082,"얼음,앱솔루트 맨드린,레몬 주스,슈가시럽,레몬",36,2,vodka,4
1083,"얼음,앱솔루트 와일드 티,슈가시럽,레몬 주스,파스티스,소다수",36,2,vodka,22
1084,"얼음,앱솔루트 시트론,딱총나무 꽃 코디얼,레몬 주스,토닉 워터,레몬",38,1,vodka,14
1085,"얼음,앱솔루트 맨드린,드라이 버무스,패션 프루트 리큐어,딸기 시럽,파인애플 주스,사과,파인애플",28,6,vodka,14
1086,"얼음,앱솔루트 어피치,레몬 주스,슈가시럽,소다수,레몬,복숭아",36,1,vodka,14
1087,"얼음,앱솔루트 시트론,라즈베리 퓌레,샴페인",20,17,vodka|champagne,22
1088,"얼음,잘게 부순 얼음,앱솔루트 보드카,라임 주스,슈가시럽,계란 흰자,딸기,블랙베리,어린 가지 민트",35,2,vodka,13
1089,"얼음,앱솔루트 라즈베리,크랜베리 주스,블랙 라즈베리 리큐어,레몬 주스,바닐라 시럽",2,12,vodka,14
1090,"얼음,앱솔루트 보드카,자몽주스,귤 리큐어,캄파리,그레이프프루트",13,16,vodka,14
1091,"얼음,앱솔루트 와일드 티,크랜베리 주스",30,3,vodka,22
1092,"얼음,앱솔루트 보드카,야생 자두 주스,레몬,망고",20,0,vodka,15
1093,"얼음,앱솔루트 보드카,사케,라이치 주스,라임,레몬그라스",19,0,vodka,14
1094,"얼음,잘게 부순 얼음,앱솔루트 페어,바닐라 시럽,레몬 주스,오렌지 주스,배",36,2,vodka,14
1095,"얼음,앱솔루트 바니리아,크림 리큐어,크림,헤이즐넛 리큐어",25,9,vodka,15
1096,"얼음,앱솔루트 와일드 티,슈가시럽,라임 주스",36,2,vodka,22
1097,"얼음,잘게 부순 얼음,앱솔루트 보드카,패션 프루트,레몬,바질,정제된 설탕",40,0,vodka,15
1098,"얼음,앱솔루트 시트론,레몬 주스,갈설탕(흰색)",39,0,vodka,22
1099,"얼음,앱솔루트 시트론,신선한 애플 주스,크랜베리 주스,트리플 섹,라임 주스,진저엘,라임",16,14,vodka,14
1100,"얼음,앱솔루트 바니리아,콜라,라임",29,2,vodka,14
1101,"얼음,앱솔루트 보드카,딸기와 말린 흑후추 열매 시럽,레몬 주스",36,0,vodka,15
1102,"얼음,앱솔루트 시트론,화이트 크랜베리 주스,트리플 섹,라임",37,1,vodka,14
1103,"얼음,앱솔루트 100,자몽주스,그레이프프루트",38,3,vodka,14
1104,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,계란 흰자,소다수,레몬",36,2,vodka,4
1105,"앱솔루트 맨드린,토닉 워터,오렌지 주스,오렌지",23,0,vodka,14
1106,"얼음,앱솔루트 보드카,깔루아,소다수",28,10,vodka,15
1107,"얼음,앱솔루트 애플,크림,헤이즐넛 리큐어",5,5,vodka,15
1108,"얼음,앱솔루트 어피치,바닐라 리큐어,레몬 주스,패션 프루트 시럽",20,17,vodka,14
