id,ingredient,degree,sugar,base_spirit,저녁 술,오후 술,식전 술,식후 술
606,"잘게 부순 얼음,앱솔루트 어피치,레몬,라임,정제된 설탕,복숭아",4,2,vodka,0,1,0,0
607,"얼음,앱솔루트 페퍼,토마토 주스,오렌지 주스,발사믹 식초",2,3,vodka,0,1,0,0
608,"얼음,드라이 버무스,진,스카치 위스키,앱솔루트 라즈베리",4,1,vodka|gin|whisky,1,0,0,0
609,"얼음,앱솔루트 큐란트,슈가시럽,딸기",4,1,vodka,1,0,0,0
610,"얼음,앱솔루트 바니리아,콜라,라임",3,2,vodka,0,1,0,0
611,"얼음,블러디 메리 믹스,앱솔루트 보드카,피클 브라인",4,1,vodka,0,1,0,0
612,"얼음,앱솔루트 보드카,옐로우 샤르트뢰즈,마라스키노 베리",4,2,vodka,1,0,0,0
613,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,소다수,망고",4,2,vodka,0,0,0,1
614,"잘게 부순 얼음,앱솔루트 바니리아,토닉 워터,라즈베리",3,1,vodka,0,1,0,0
615,"앱솔루트 카니발 에디션,바닐라 시럽,파인애플",4,2,vodka,0,0,1,0
616,"얼음,앱솔루트 보드카,화이트 와인,딱총나무 꽃 코디얼,레몬 주스,소다수,레드 커런트",3,3,vodka,0,0,0,1
617,"잘게 부순 얼음,앱솔루트 루비 레드,엘더플라워 리큐르,그레이프프루트,석류 씨",4,1,vodka,1,0,0,0
618,"앱솔루트 베리 아사이,브라질산 체리,아세로라,바질,정제된 설탕,하프 앤드 하프",4,2,vodka,1,0,0,0
619,"얼음,앱솔루트 라임,트리플 섹,크랜베리 주스,라임 주스,라임",4,2,vodka,0,0,0,0
620,"얼음,앱솔루트 보드카,복숭아 퓌레,샴페인",2,3,vodka|champagne,0,1,0,0
621,"얼음,앱솔루트 와일드 티,복숭아 퓌레,복숭아 리큐어,레몬 주스,슈가시럽,민트",4,2,vodka,0,0,0,0
622,"얼음,앱솔루트 보드카,계란 리큐어,화이트 카카오 리큐어",3,4,vodka,0,0,0,1
623,"얼음,잘게 부순 얼음,앱솔루트 보드카,배 퓌레,슈가시럽,배",4,2,vodka,0,1,0,0
624,"얼음,앱솔루트 보드카,라임 코디얼,라임",4,2,vodka,0,0,0,0
625,"얼음,앱솔루트 보드카,냉커피,연유,피스타치오 아이스크림",4,1,vodka,1,0,0,0
626,"얼음,앱솔루트 보드카,깔루아,레몬 주스,레몬",4,1,vodka,0,1,0,0
627,"얼음,앱솔루트 시트론,라임 주스,슈가시럽,민트잎,라임",4,2,vodka,0,1,0,0
628,"앱솔루트 100,샴페인",3,1,vodka|champagne,0,0,0,0
629,"얼음,앱솔루트 보드카,복숭아 리큐어,화이트 복숭아 퓌레,복숭아 비터즈",4,1,vodka,0,0,1,0
630,"얼음,앱솔루트 보드카,바나나 리큐어,마라스키노 리큐어,레몬 주스,오렌지 주스",3,3,vodka,1,0,0,0
631,"얼음,잘게 부순 얼음,앱솔루트 맨드린,오렌지 주스,레몬 주스,슈가시럽",2,3,vodka,0,1,0,0
632,"얼음,앱솔루트 그레이프,레몬 주스,슈가시럽,포도",2,3,vodka,0,0,0,0
633,"얼음,앱솔루트 어피치,패션 프루트 주스,딸기 시럽,라임",3,2,vodka,0,1,0,0
634,"얼음,앱솔루트 루비 레드,파인애플 주스,정제된 설탕,파인애플",4,2,vodka,0,0,0,1
635,"잘게 부순 얼음,앱솔루트 보드카,라임 주스,슈가시럽,키위",4,2,vodka,0,1,0,0
636,"잘게 부순 얼음,앱솔루트 보드카,슈가시럽,바닐라 리큐어,라임",4,2,vodka,0,1,0,0
637,"얼음,앱솔루트 보드카,신선한 애플 주스,레몬 주스,아몬드 시럽,아몬드",4,2,vodka,1,0,0,0
638,"얼음,앱솔루트 루비 레드,루비 자몽주스,레몬",3,1,vodka,0,1,0,0
639,"앱솔루트 바니리아,애플 주스(핫),꿀,사과,계피 스틱",3,2,vodka,0,1,0,0
640,"앱솔루트 시트론,트리플 섹,레몬 주스,슈가시럽,샴페인",3,5,vodka|champagne,0,1,0,0
641,"얼음,앱솔루트 큐란트,블루 큐라소,레몬 주스,레몬에이드,오렌지",3,5,vodka,0,1,0,0
642,"얼음,앱솔루트 맨드린,앱솔루트 라즈베리,말리부 럼,크랜베리 주스,라임 주스",3,3,vodka,0,1,0,0
643,"얼음,앱솔루트 맨드린,레몬 주스,딱총나무 꽃 코디얼,귤 리큐어,슈가시럽,오렌지",4,2,vodka,0,1,0,0
644,"얼음,앱솔루트 페어,살구 브랜디,자몽주스,신선한 애플 주스,슈가시럽",2,5,vodka,0,1,0,0
645,"얼음,앱솔루트 보드카,멜론 리큐어,블랙 라즈베리 리큐어,파인애플 주스",3,4,vodka,0,1,0,0
646,"얼음,앱솔루트 맨드린,신선한 애플 주스,딱총나무 꽃 코디얼,라임 주스,비터즈,토닉 워터",2,3,vodka,0,1,0,0
647,"얼음,앱솔루트 보드카,꼬냑,라이트 럼,진,스카치 위스키",5,1,vodka|gin|rum|whisky,0,1,0,0
648,"앱솔루트 페퍼,바질,딸기",4,1,vodka,1,0,0,0
649,"얼음,앱솔루트 보드카,복숭아맛 버본,라임 주스",4,1,vodka,0,0,0,0
650,"얼음,앱솔루트 보드카,키위 퓌레,슈가시럽",2,1,vodka,0,0,0,1
651,"얼음,앱솔루트 맨드린,레몬 주스,슈가시럽,소다수,레몬,오렌지",4,2,vodka,0,1,0,0
652,"얼음,앱솔루트 루비 레드,루비 자몽주스,멜론 리큐어",2,1,vodka,0,1,0,0
653,"얼음,앱솔루트 보드카,블루 큐라소,라임 주스",4,4,vodka,0,1,0,0
654,"얼음,살구 브랜디,앱솔루트 보드카,귤 리큐어,레몬 주스,소다수",3,4,vodka,0,1,0,0
655,"얼음,앱솔루트 보드카,자몽주스,망고 퓌레,망고",2,3,vodka,0,1,0,0
656,"얼음,앱솔루트 보드카,파스티스",4,2,vodka,0,1,0,0
657,"얼음,앱솔루트 보드카,체리 브랜디,레드 포트 와인,석류즙",3,3,vodka,1,0,0,0
658,"얼음,앱솔루트 보드카,라즈베리 퓌레,슈가시럽",4,2,vodka,0,0,0,0
659,"얼음,앱솔루트 바니리아,민트 아마로,크림,초콜릿",2,1,vodka,0,0,0,0
660,"얼음,앱솔루트 맨드린,슈가시럽,망고",4,1,vodka,1,0,0,0
661,"얼음,진,앱솔루트 보드카,크랜베리 주스,자몽주스,라임",2,3,vodka|gin,0,1,0,0
662,"얼음,앱솔루트 베리 아사이,콜라,라임 주스,라임",3,2,vodka,0,1,0,0
663,"얼음,앱솔루트 바니리아,블루 큐라소,라즈베리 리큐어",3,4,vodka,0,1,0,0
664,"얼음,앱솔루트 루비 레드,라임 주스,진저비어,그레이프프루트",4,1,vodka,0,1,0,0
665,"얼음,앱솔루트 보드카,사과즙,멜론 리큐어,키위,라임",4,1,vodka,1,0,0,0
666,"얼음,앱솔루트 바니리아,트리플 섹,자몽주스,레몬 주스,오렌지",4,4,vodka,0,1,0,0
667,"얼음,앱솔루트 보드카,오렌지 주스,오렌지 큐라소,오렌지",3,4,vodka,0,1,0,0
668,"얼음,앱솔루트 보드카,크랜베리 주스,오렌지 주스,복숭아 시럽,오렌지",1,4,vodka,0,1,0,0
669,"얼음,앱솔루트 바니리아,진저엘,라임",3,1,vodka,0,1,0,0
670,"얼음,앱솔루트 보드카,로즈마리 시럽,레몬 주스,블랙베리 퓌레,어린 가지 로즈마리",4,1,vodka,0,0,0,0
671,"얼음,잘게 부순 얼음,앱솔루트 어피치,블랙 라즈베리 리큐어,크림,계피 시럽,우유,바닐라 리큐어",2,3,vodka,1,0,0,0
672,"얼음,앱솔루트 보드카,커피 콩,초콜릿,슈가시럽",4,2,vodka,0,0,0,1
673,"얼음,앱솔루트 어피치,트리플 섹,비터즈",4,2,vodka,0,1,0,0
674,"얼음,앱솔루트 패션프루트,시트러스 토닉 워터,라임,레몬,오렌지",4,1,vodka,0,0,0,0
675,"잘게 부순 얼음,앱솔루트 보드카,블랙 커런트 리큐어,슈가시럽,라임 주스,블랙베리",4,1,vodka,0,1,0,0
676,"얼음,앱솔루트 엘릭스,진저비어,수즈,레몬 주스,딸기,바질",1,2,vodka,0,0,0,0
677,"얼음,앱솔루트 엘릭스,살구 브랜디,레몬 주스,스트레가,계란 흰자,압생트,소다수,레몬",4,1,vodka,0,0,0,0
678,"얼음,앱솔루트 보드카,파인애플 주스,라임 코디얼,라임 주스",4,2,vodka,0,1,0,0
679,"얼음,앱솔루트 보드카,자메이카 타입의 다크 럼,라임 주스",4,1,vodka|rum,0,1,0,0
680,"얼음,앱솔루트 주스 애플,스파클링 콩코드 포도 주스,릴레 루즈",1,1,vodka,0,0,0,0
681,"얼음,앱솔루트 맨드린,스파이시 시럽,토닉 워터,라임",4,1,vodka,0,1,0,0
682,"얼음,앱솔루트 보드카,레몬 주스,트리플 섹",3,4,vodka,0,1,0,0
683,"얼음,앱솔루트 루비 레드,토닉 워터,라임",3,1,vodka,0,1,0,0
684,"얼음,앱솔루트 페어,구아바 넥타,망고 넥타,레몬 주스,복숭아 넥타,진저엘,라임",4,1,vodka,0,1,0,0
685,"잘게 부순 얼음,앱솔루트 페퍼,슈가시럽,딸기,민트잎,라임",4,2,vodka,0,1,0,0
686,"얼음,앱솔루트 애플,토닉 워터,레몬 주스,레몬",3,1,vodka,0,1,0,0
687,"얼음,앱솔루트 체리,라임 주스,진저비어,체리",4,1,vodka,0,1,0,0
688,"얼음,앱솔루트 엘릭스,핑크 그레이프프루트 주스,집에서 만든 펜넬 코디얼,수즈,라임 주스,자몽 껍질",2,1,vodka,0,0,0,1
689,"얼음,앱솔루트 보드카,드라이 버무스,귤 리큐어,스위트 버무스,비터즈",4,3,vodka,1,0,0,0
690,"얼음,앱솔루트 큐란트,토닉 워터,레몬",3,1,vodka,0,1,0,0
691,"앱솔루트 페어,애플 주스,샴페인",2,3,vodka|champagne,0,0,0,1
692,"얼음,앱솔루트 100,갈리아노,오렌지 주스,오렌지",5,4,vodka,0,0,0,0
693,"얼음,앱솔루트 보드카,신선한 애플 주스,사과즙,블랙베리 리큐어,계피 시럽,요거트,사과,블랙베리",2,2,vodka,0,1,0,0
694,"얼음,앱솔루트 보드카,블랙 라즈베리 리큐어,트리플 섹,샴페인,레몬",3,5,vodka|champagne,0,1,0,0
695,"얼음,앱솔루트 보드카,바이올렛 리큐어,블랙 커런트 리큐어",4,1,vodka,0,1,0,0
696,"얼음,앱솔루트 보드카,오렌지 주스,바닐라 리큐어",1,4,vodka,0,1,0,0
697,"잘게 부순 얼음,앱솔루트 시트론,레몬 주스,방취목,정제된 설탕,사이다,레몬",4,2,vodka,1,0,0,0
698,"얼음,앱솔루트 보드카,트리플 섹,바나나 리큐어",4,5,vodka,1,0,0,0
699,"얼음,앱솔루트 어피치,멜론 리큐어,사이다,라임",4,3,vodka,0,1,0,0
700,"얼음,앱솔루트 보드카,레몬,정제된 설탕",4,2,vodka,0,1,0,0
701,"얼음,앱솔루트 보드카,라임,정제된 설탕",4,2,vodka,1,0,0,0
702,"앱솔루트 보드카,레몬 주스,사과즙,정제된 설탕,애플 주스",4,3,vodka,1,0,0,0
703,"얼음,잘게 부순 얼음,앱솔루트 보드카,슈가시럽,레몬 주스,블루베리,어린 가지 민트",4,2,vodka,0,1,0,0
704,"얼음,앱솔루트 바니리아,꿀,위스키/허니 리큐어",4,4,vodka,0,1,0,0
705,"앱솔루트 보드카,샴페인",4,1,vodka|champagne,0,0,0,1
706,"얼음,앱솔루트 페퍼,핫 소스,위스키/허니 리큐어",4,3,vodka,1,0,0,0
707,"얼음,앱솔루트 시트론,콜라,레몬",3,2,vodka,0,0,0,0
708,"앱솔루트 시트론,레몬 주스,민트잎,바질,정제된 설탕,박하 아이스티",3,1,vodka,1,0,0,0
709,"얼음,앱솔루트 어피치,사이다,라임",3,2,vodka,1,0,0,0
710,"얼음,앱솔루트 100,토마토 주스,레몬 주스,토마토,셀러리",4,2,vodka,0,1,0,0
711,"앱솔루트 루비 레드,샴페인,루비 자몽주스",2,1,vodka|champagne,1,0,0,0
712,"얼음,앱솔루트 애플,레몬 주스,슈가시럽,사과",2,3,vodka,0,0,0,0
713,"얼음,앱솔루트 라즈베리,사이다,라임",3,2,vodka,1,0,0,0
714,"얼음,앱솔루트 보드카,꼬냑,레몬 주스,슈가시럽",4,1,vodka,0,1,0,0
715,"얼음,앱솔루트 보드카,갈리아노,라임 주스,계란 흰자,트리플 섹,파인애플",3,4,vodka,0,1,0,0
716,"얼음,앱솔루트 보드카,화이트 카카오 리큐어",3,4,vodka,1,0,0,0
717,"얼음,앱솔루트 체리,우유,다크 카카오 리큐어",1,2,vodka,0,0,1,0
718,"얼음,앱솔루트 보드카,오렌지 주스,파인애플 주스,트리플 섹,바나나 리큐어,석류즙,파인애플",1,4,vodka,1,0,0,0
719,"얼음,앱솔루트 보드카,페르넷 브랭커,레몬 주스,슈가시럽",4,2,vodka,1,0,0,0
720,"얼음,앱솔루트 큐란트,애플 주스,라임 주스,슈가시럽,사과",2,3,vodka,0,1,0,0
721,"잘게 부순 얼음,앱솔루트 보드카,레몬 주스,슈가시럽,소다수,키위",4,2,vodka,0,1,0,0
722,"얼음,앱솔루트 보드카,크랜베리 주스,아마레또,멜론 리큐어",4,2,vodka,0,1,0,0
723,"얼음,앱솔루트 라즈베리,자몽주스,크랜베리 주스,오렌지",4,1,vodka,0,1,0,0
724,"앱솔루트 페퍼,슈가시럽,수박",4,1,vodka,0,1,0,0
725,"얼음,앱솔루트 보드카,핑크 그레이프프루트 주스,레몬에이드,캄파리,라임 주스,소다수,어린 가지 민트",1,3,vodka,0,1,0,0
726,"얼음,스카치 위스키,앱솔루트 애플,신선한 애플 주스,라임 주스,핌즈 컵 넘버 1,계피,사과",4,1,vodka|whisky,1,0,0,0
727,"얼음,앱솔루트 어피치,라임,체리 리큐어,아몬드 시럽",2,2,vodka,0,0,1,0
728,"얼음,앱솔루트 라즈베리,라임 주스,슈가시럽,소다수,라임,라즈베리",4,2,vodka,0,1,0,0
729,"얼음,앱솔루트 보드카,스파이스 럼,헤이즐넛 리큐어,라임 코디얼,레몬",4,3,vodka|rum,0,1,0,0
730,"앱솔루트 라즈베리,윌리엄 페어 리큐어,블랙 라즈베리 리큐어,샴페인",4,4,vodka|champagne,0,1,0,0
731,"얼음,앱솔루트 시트론,레몬첼로,배 주스",4,2,vodka,0,1,0,0
732,"잘게 부순 얼음,앱솔루트 보드카,살구 브랜디,라임 주스,소다수,바나나,어린 가지 민트",4,1,vodka,0,1,0,0
733,"얼음,앱솔루트 보드카,화이트 초콜릿 리큐어,오렌지",4,1,vodka,0,1,0,0
734,"얼음,잘게 부순 얼음,앱솔루트 베리 아사이,레몬 주스,파인애플,정제된 설탕",4,2,vodka,1,0,0,0
735,"얼음,앱솔루트 보드카,말리부 럼,크림 리큐어,오렌지 주스",2,4,vodka,0,1,0,0
736,"얼음,앱솔루트 보드카,사이다,블루베리",4,1,vodka,0,1,0,0
737,"잘게 부순 얼음,앱솔루트 어피치,슈가시럽,라임",4,2,vodka,0,1,0,0
738,"얼음,앱솔루트 맨드린,신선한 애플 주스,트리플 섹,오렌지 비터즈",2,4,vodka,0,1,0,0
739,"얼음,앱솔루트 보드카,드라이 버무스,체리 리큐어,바나나 리큐어,캄파리,레몬,오렌지",3,3,vodka,0,1,0,0
740,"얼음,앱솔루트 바니리아,화이트 초콜릿 리큐어",4,1,vodka,1,0,0,0
741,"얼음,앱솔루트 보드카,애플 주스,캄파리,패션 프루트 주스,슈가시럽,라임",2,4,vodka,0,1,0,0
742,"얼음,앱솔루트 라임,소다수,진저엘,라임 주스,오이",4,2,vodka,0,0,0,0
743,"얼음,앱솔루트 보드카,드라이 버무스,레몬 주스",4,1,vodka,0,1,0,0
744,"앱솔루트 보드카,멜론 리큐어,딸기 리큐어",4,3,vodka,0,1,0,0
745,"얼음,앱솔루트 어피치,트리플 섹,라임 주스,크랜베리 주스,레몬",4,2,vodka,0,1,0,0
746,"얼음,앱솔루트 페어,레몬 주스,슈가시럽,그레이프프루트 소다,배",4,2,vodka,0,1,0,0
747,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,석류 주스,소다수",4,2,vodka,1,0,0,0
748,"얼음,앱솔루트 어피치,콜라,오렌지",3,2,vodka,0,0,1,0
749,"얼음,앱솔루트 보드카,블랙 커런트 리큐어,라임 주스,마라스키노 베리",4,2,vodka,0,1,0,0
750,"얼음,앱솔루트 맨드린,오렌지 주스,트리플 섹,샴페인,오렌지",2,4,vodka|champagne,0,1,0,0
751,"잘게 부순 얼음,앱솔루트 100,파인애플 주스,딸기 시럽,트리플 섹",3,4,vodka,1,0,0,0
752,"얼음,앱솔루트 보드카,자메이카 타입의 다크 럼,레몬 주스,패션 프루트 주스,레몬",4,3,vodka|rum,0,1,0,0
753,"얼음,앱솔루트 보드카,사케,윌리엄 페어 리큐어",3,2,vodka,0,1,0,0
754,"얼음,앱솔루트 보드카,말리부 럼,데킬라,크랜베리 주스,레몬",2,4,vodka|tequila,0,1,0,0
755,"잘게 부순 얼음,앱솔루트 맨드린,진저비어,레몬 주스,멜론 리큐어,딸기 퓌레",2,3,vodka,0,1,0,0
756,"얼음,앱솔루트 보드카,오렌지 비터즈,슈가시럽,민트",4,1,vodka,0,1,0,0
757,"얼음,앱솔루트 보드카,토마토 주스,핫 소스,레몬 주스,우스터 소스,셀러리",4,1,vodka,0,0,1,0
758,"얼음,앱솔루트 애플,애플 주스,레몬 주스,슈가시럽,계란 흰자",4,2,vodka,0,0,0,0
759,"얼음,앱솔루트 라즈베리,라즈베리 소다,라임 코디얼,라임,라즈베리",3,1,vodka,0,1,0,0
760,"얼음,마르티니크 에이지드 럼,앱솔루트 보드카,망고 주스,마라스키노 베리,민트,오렌지",3,3,vodka|rum,0,1,0,0
761,"얼음,앱솔루트 바니리아,커피 콩,슈가시럽",4,2,vodka,0,0,0,1
762,"얼음,앱솔루트 보드카,칼바도스,오렌지 비터즈,마라스키노 베리",3,4,vodka,0,1,0,0
763,"얼음,앱솔루트 페어,슈가시럽,레몬 주스,석류 주스,라즈베리",4,2,vodka,0,1,0,0
764,"얼음,잘게 부순 얼음,앱솔루트 보드카,신선한 애플 주스,레몬 주스,슈가시럽,키위",2,3,vodka,0,1,0,0
765,"얼음,앱솔루트 보드카,집에서 만든 마멀레이드,사용된 홍차 티백,레몬 주스",4,1,vodka,0,0,0,0
766,"얼음,앱솔루트 보드카,신선한 애플 주스,칼바도스,비터즈,사과",2,4,vodka,0,1,0,0
767,"얼음,앱솔루트 어피치,슈가시럽,레몬 주스,복숭아 리큐어,망고",4,2,vodka,0,1,0,0
768,"얼음,앱솔루트 와일드 티,토닉 워터,라임",3,1,vodka,0,0,0,0
769,"얼음,앱솔루트 바니리아,초콜릿 리큐어,크림,그린 박하 리큐어",2,4,vodka,0,1,0,0
770,"얼음,앱솔루트 맨드린,레몬 주스,슈가시럽,레몬에이드,초콜릿 소스,키위",4,2,vodka,0,1,0,0
771,"얼음,앱솔루트 시트론,사이다,타마린드 주스",2,1,vodka,0,1,0,0
772,"얼음,앱솔루트 보드카,레몬 주스,아몬드 시럽,계란 흰자,라즈베리 잼",4,2,vodka,0,1,0,0
773,"얼음,앱솔루트 보드카,토닉 워터,딱총나무 꽃 코디얼,레몬 껍질",3,1,vodka,0,1,0,0
774,"얼음,앱솔루트 베리 아사이,소다수,라임 주스,블루베리,라임",3,2,vodka,0,0,0,0
775,"얼음,앱솔루트 보드카,꼬냑,스카치 위스키,마라스키노 리큐어",4,1,vodka|whisky,1,0,0,0
776,"앱솔루트 바니리아,파인애플,정제된 설탕,계피",4,2,vodka,1,0,0,0
777,"잘게 부순 얼음,앱솔루트 맨드린,데킬라,캄파리,라즈베리,레몬 껍질",4,2,vodka|tequila,0,0,0,0
778,"얼음,앱솔루트 바니리아,애플 주스,슈가시럽,레몬 주스,블랙베리",2,3,vodka,0,0,0,0
779,"얼음,앱솔루트 맨드린,오렌지 주스,석류즙,자몽주스,파인애플 주스",2,3,vodka,0,1,0,0
780,"얼음,앱솔루트 실란트로,코코넛 워터,라임 주스,라임",4,1,vodka,0,1,0,0
781,"얼음,앱솔루트 라즈베리,레몬 주스,슈가시럽,트리플 섹",4,2,vodka,0,1,0,0
782,"얼음,앱솔루트 보드카,애플 주스,블루 큐라소,복숭아 리큐어,트리플 섹",2,5,vodka,1,0,0,0
783,"얼음,앱솔루트 루비 레드,라임,정제된 설탕,오렌지",4,2,vodka,1,0,0,0
784,"얼음,앱솔루트 보드카,앱솔루트 페퍼,삼부카,비터즈,석류즙",4,1,vodka,0,1,0,0
785,"얼음,앱솔루트 보드카,라임 주스,슈가시럽,민트잎,소다수",4,2,vodka,1,0,0,0
786,"얼음,앱솔루트 라즈베리,오렌지 주스,오렌지,라즈베리",3,2,vodka,0,1,0,0
787,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,와사비 페이스트",4,2,vodka,0,1,0,0
788,"얼음,앱솔루트 보드카,릴레 로제,자몽 비터스,설탕 시럽,자몽 껍질",4,1,vodka,0,0,0,0
789,"얼음,앱솔루트 큐란트,블랙 커런트",4,1,vodka,0,1,0,0
790,"얼음,앱솔루트 보드카,크림,라즈베리 리큐어,석류즙",2,3,vodka,0,1,0,0
791,"얼음,앱솔루트 보드카,사이다,멜론 리큐어",1,4,vodka,1,0,0,0
792,"얼음,앱솔루트 보드카,앱솔루트 어피치,오렌지 주스,슈가시럽,망고 주스,레몬 주스,바나나,민트,복숭아",1,4,vodka,0,0,1,0
793,"얼음,앱솔루트 보드카,드라이 버무스,오렌지 맛 브랜디,마라스키노 베리",4,1,vodka,0,1,0,0
794,"잘게 부순 얼음,앱솔루트 루비 레드,황설탕,라임,그레이프프루트",4,1,vodka,0,1,0,0
795,"잘게 부순 얼음,앱솔루트 라즈베리,라즈베리",4,1,vodka,1,0,0,0
796,"얼음,앱솔루트 시트론,멜론 리큐어,사이다,라임",4,3,vodka,0,1,0,0
797,"얼음,앱솔루트 큐란트,드라이 버무스,슈가시럽,블랙베리",4,1,vodka,0,1,0,0
798,"얼음,앱솔루트 베리 아사이,파인애플 주스,레몬,정제된 설탕,파인애플",4,2,vodka,1,0,0,0
799,"얼음,앱솔루트 그레이프프루트,레몬 주스,트리플 섹,슈가시럽,그레이프프루트",3,4,vodka,0,0,0,0
800,"얼음,앱솔루트 베리 아사이,크랜베리 주스,애플 주스,블루베리",2,3,vodka,0,0,0,1
801,"얼음,앱솔루트 히비스커스,살구 브랜디,레몬 주스,셰리,레몬",1,1,vodka,0,0,1,0
802,"얼음,앱솔루트 보드카,드라이 버무스,레드 와인",3,1,vodka,0,1,0,0
803,"얼음,앱솔루트 보드카,슈가시럽,블루베리",4,2,vodka,1,0,0,0
804,"얼음,앱솔루트 보드카,오렌지 주스,크랜베리 주스,오렌지",2,3,vodka,0,1,0,0
805,"얼음,앱솔루트 보드카,진,핑크 그레이프프루트 주스",1,1,vodka|gin,0,1,0,0
806,"얼음,앱솔루트 보드카,오렌지 주스,오렌지",3,2,vodka,0,0,0,0
807,"얼음,앱솔루트 맨드린,바나나 리큐어,복숭아 아이스티",4,2,vodka,0,1,0,0
808,"잘게 부순 얼음,앱솔루트 바니리아,토닉 워터,라즈베리",3,1,vodka,0,0,0,1
809,"얼음,앱솔루트 100",5,1,vodka,1,0,0,0
810,"얼음,잘게 부순 얼음,앱솔루트 라즈베리,신선한 애플 주스,오렌지 주스,슈가시럽,민트,패션 프루트,라즈베리",1,3,vodka,0,1,0,0
811,"얼음,앱솔루트 보드카,크랜베리 주스,오렌지 주스,오렌지",4,2,vodka,0,1,0,0
812,"얼음,앱솔루트 시트론,아이스 티,트리플 섹,레몬",3,2,vodka,1,0,0,0
813,"앱솔루트 베리 아사이,레몬 주스,꿀,체리",4,3,vodka,0,0,0,1
814,"얼음,앱솔루트 애플,소다수,라임 주스,라임,사과",3,2,vodka,0,0,0,0
815,"얼음,앱솔루트 라즈베리,크랜베리 주스,트리플 섹,라임 주스,오렌지",4,2,vodka,0,1,0,0
816,"얼음,앱솔루트 엘릭스,토마토 주스,우스터 소스,핫 소스,레몬 주스,셀러리 솔트,블랙페퍼 가루,셀러리,레몬,토마토",1,3,vodka,0,0,0,0
817,"얼음,앱솔루트 바니리아,초콜릿 리큐어",3,4,vodka,0,0,0,1
818,"얼음,앱솔루트 페퍼,초콜릿 리큐어,황설탕,할라피뇨",3,4,vodka,1,0,0,0
819,"얼음,앱솔루트 라임,라임 주스,슈가시럽,레몬",4,2,vodka,0,0,0,0
820,"얼음,잘게 부순 얼음,앱솔루트 페퍼,바질,딸기,어린 가지 민트",4,1,vodka,0,1,0,0
821,"얼음,앱솔루트 보드카,신선한 애플 주스,블랙 라즈베리 리큐어,패션 프루트",2,3,vodka,0,1,0,0
822,"얼음,잘게 부순 얼음,앱솔루트 페어,파인애플 주스,정제된 설탕,로즈마리,초콜릿과 오렌지 리큐어",4,2,vodka,0,0,0,1
823,"얼음,앱솔루트 보드카,콜라,깔루아,크림",1,4,vodka,1,0,0,0
824,"얼음,앱솔루트 보드카,드라이 버무스,화이트 초콜릿 리큐어,화이트 크렘 드 망트",3,3,vodka,1,0,0,0
825,"얼음,앱솔루트 와일드 티,토닉 워터,자몽주스,그레이프프루트",2,3,vodka,1,0,0,0
826,"얼음,앱솔루트 보드카,레몬 주스,계피 시럽,딸기",4,1,vodka,1,0,0,0
827,"얼음,앱솔루트 보드카,오렌지 주스,체리 브랜디",2,4,vodka,0,1,0,0
828,"얼음,앱솔루트 라즈베리,브라운 카카오 리큐어,크림,깔루아,계란 노른자",2,3,vodka,0,1,0,0
829,"얼음,앱솔루트 시트론,토닉 워터,레몬",3,1,vodka,0,1,0,0
830,"얼음,앱솔루트 바니리아,애플 주스",3,2,vodka,0,1,0,0
831,"얼음,앱솔루트 보드카,블랙 커런트 리큐어,헤이즐넛 리큐어,딸기 퓌레,딸기",3,4,vodka,0,1,0,0
832,"얼음,앱솔루트 보드카,압생트,슈가시럽,오렌지 비터즈",4,1,vodka,1,0,0,0
833,"얼음,앱솔루트 보드카,위스키/허니 리큐어,캄파리",4,4,vodka,0,1,0,0
834,"잘게 부순 얼음,앱솔루트 보드카,자몽주스,블랙 커런트 리큐어",1,4,vodka,0,1,0,0
835,"앱솔루트 어피치,복숭아 리큐어,복숭아 비터즈,샴페인",3,4,vodka|champagne,0,1,0,0
836,"얼음,앱솔루트 와일드 티,크랜베리 주스,트리플 섹,레몬 주스",1,2,vodka,0,0,0,0
837,"얼음,앱솔루트 100,신선한 애플 주스,레몬 주스,크렘 드 카시스,슈가시럽",5,2,vodka,0,1,0,0
838,"얼음,앱솔루트 맨드린,콜라,오렌지,빨대",3,2,vodka,0,1,0,0
839,"얼음,앱솔루트 루비 레드,슈가시럽,그레이프프루트",4,1,vodka,1,0,0,0
840,"얼음,앱솔루트 와일드 티,진저엘,라임",3,1,vodka,0,0,1,0
841,"얼음,앱솔루트 보드카,레몬 주스,석류 주스,소다수,민트",4,1,vodka,1,0,0,0
842,"얼음,앱솔루트 시트론,앱솔루트 큐란트,오렌지 주스",4,1,vodka,0,1,0,0
843,"얼음,앱솔루트 큐란트,크림,우유,블랙 라즈베리 리큐어,크림 리큐어,헤이즐넛 리큐어,화이트 카카오 리큐어,초콜릿",2,4,vodka,1,0,0,0
844,"얼음,앱솔루트 바니리아,레몬 주스,파인애플 주스,석류즙,바질",4,1,vodka,0,1,0,0
845,"얼음,앱솔루트 보드카,진저비어,라임 주스,라임",4,1,vodka,0,0,0,0
846,"얼음,앱솔루트 보드카,찬 에스프레소 커피,다크 카카오 리큐어,라즈베리 리큐어",3,3,vodka,0,1,0,0
